title,description,url
Real Roulette 3D,,https://www.darkpattern.games/game/18647/0/real-roulette-3d.html
Walking Dead: Road to Survival,,https://www.darkpattern.games/game/2056/0/walking-dead-road-to-survival.html
Zombie Waves-shooting game,,https://www.darkpattern.games/game/40058/0/zombie-waves-shooting-game.html
Unison League,,https://www.darkpattern.games/game/2071/0/unison-league.html
Echocalypse: Scarlet Covenant,,https://www.darkpattern.games/game/41850/0/echocalypse-scarlet-covenant.html
War and Peace: Build an Army in the Epic Civil War,,https://www.darkpattern.games/game/4328/0/war-and-peace-build-an-army-in-the-epic-civil-war.html
Cat Mario Run,,https://www.darkpattern.games/game/28907/0/cat-mario-run.html
"Dice Dreams - Roll the Dice, Become the Dice King",,https://www.darkpattern.games/game/22225/0/dice-dreams-roll-the-dice-become-the-dice-king.html
Stormshot,,https://www.darkpattern.games/game/38266/0/stormshot.html
Baseball Superstars 2020,,https://www.darkpattern.games/game/24055/0/baseball-superstars-2020.html
Madden NFL 21 Mobile Football,,https://www.darkpattern.games/game/23386/0/madden-nfl-21-mobile-football.html
Ode To Heroes,,https://www.darkpattern.games/game/10993/0/ode-to-heroes.html
MementoMori: AFKRPG,,https://www.darkpattern.games/game/38333/0/mementomori-afkrpg.html
Final Fantasy XV: War for Eos,,https://www.darkpattern.games/game/39543/0/final-fantasy-xv-war-for-eos.html
Warspear Online,,https://www.darkpattern.games/game/6096/0/warspear-online.html
DOFUS Touch,,https://www.darkpattern.games/game/4920/0/dofus-touch.html
Hero Wars - Fantasy World,,https://www.darkpattern.games/game/2034/0/hero-wars-fantasy-world.html
Clash of Kings - CoK,,https://www.darkpattern.games/game/2026/0/clash-of-kings-cok.html
FRAG Pro Shooter,,https://www.darkpattern.games/game/803/0/frag-pro-shooter.html
Dice Dreams™,,https://www.darkpattern.games/game/24713/0/dice-dreams-.html
Ragnarok M: Eternal Love(ROM),,https://www.darkpattern.games/game/3478/0/ragnarok-m-eternal-love-rom-.html
Call Me Emperor,,https://www.darkpattern.games/game/2188/0/call-me-emperor.html
The World of Magic,,https://www.darkpattern.games/game/4204/0/the-world-of-magic.html
GraalOnline Era,,https://www.darkpattern.games/game/13555/0/graalonline-era.html
GraalOnline Era+,,https://www.darkpattern.games/game/3963/0/graalonline-era-.html
Game of Thrones: Conquest™,,https://www.darkpattern.games/game/552/0/game-of-thrones-conquest-.html
Idle Heroes - Idle Games,,https://www.darkpattern.games/game/441/0/idle-heroes-idle-games.html
Infinite Galaxy,,https://www.darkpattern.games/game/28122/0/infinite-galaxy.html
Kawaii Home Design,,https://www.darkpattern.games/game/9812/0/kawaii-home-design.html
MONOPOLY GO!,,https://www.darkpattern.games/game/39930/0/monopoly-go-.html
Star Wars™: Galaxy of Heroes,,https://www.darkpattern.games/game/2006/0/star-wars-galaxy-of-heroes.html
Legend of the phoenix,,https://www.darkpattern.games/game/20582/0/legend-of-the-phoenix.html
Cats Mansion - Cute Cat Games,,https://www.darkpattern.games/game/42458/0/cats-mansion-cute-cat-games.html
Age of Apes,,https://www.darkpattern.games/game/26424/0/age-of-apes.html
GraalOnline Classic,,https://www.darkpattern.games/game/17492/0/graalonline-classic.html
Hero Wars - Men’s Choice Epic Fantasy RPG,,https://www.darkpattern.games/game/2700/0/hero-wars-men-s-choice-epic-fantasy-rpg.html
Cat Fantasy: lsekai Adventure,,https://www.darkpattern.games/game/41435/0/cat-fantasy-lsekai-adventure.html
Evony,,https://www.darkpattern.games/game/2033/0/evony.html
GraalOnline Classic+,,https://www.darkpattern.games/game/2465/0/graalonline-classic-.html
GraalOnline Ol'West+,,https://www.darkpattern.games/game/13282/0/graalonline-ol-west-.html
War and Order,,https://www.darkpattern.games/game/2010/0/war-and-order.html
Homerun Clash,,https://www.darkpattern.games/game/566/0/homerun-clash.html
TALES OF CRESTORIA,,https://www.darkpattern.games/game/22708/0/tales-of-crestoria.html
Might & Magic Heroes: Era of Chaos,,https://www.darkpattern.games/game/14476/0/might-magic-heroes-era-of-chaos.html
Saint Seiya Awakening: Knights of the Zodiac,,https://www.darkpattern.games/game/10704/0/saint-seiya-awakening-knights-of-the-zodiac.html
Vikings: War of Clans,,https://www.darkpattern.games/game/2009/0/vikings-war-of-clans.html
Looney Tunes™ World of Mayhem - Action RPG,,https://www.darkpattern.games/game/3424/0/looney-tunes-world-of-mayhem-action-rpg.html
Ni no Kuni: Cross Worlds,,https://www.darkpattern.games/game/35689/0/ni-no-kuni-cross-worlds.html
Guns of Glory: MMO Empire War,,https://www.darkpattern.games/game/555/0/guns-of-glory-mmo-empire-war.html
Game of Sultans,,https://www.darkpattern.games/game/534/0/game-of-sultans.html
Age of Z,,https://www.darkpattern.games/game/662/0/age-of-z.html
State of Survival,,https://www.darkpattern.games/game/10301/0/state-of-survival.html
Art of Conquest,,https://www.darkpattern.games/game/2112/0/art-of-conquest.html
Empires & Puzzles: RPG Quest,,https://www.darkpattern.games/game/751/0/empires-puzzles-rpg-quest.html
Dragon POW!,,https://www.darkpattern.games/game/40284/0/dragon-pow-.html
Kingshot,,https://www.darkpattern.games/game/42817/0/kingshot.html
ISEKAI:Demon Waifu,,https://www.darkpattern.games/game/29747/0/isekai-demon-waifu.html
Influencer Story: Rise to Fame,,https://www.darkpattern.games/game/41876/0/influencer-story-rise-to-fame.html
GraalOnline Zone+,,https://www.darkpattern.games/game/18128/0/graalonline-zone-.html
Invasion: Modern Empire,,https://www.darkpattern.games/game/2103/0/invasion-modern-empire.html
Frontier Justice,,https://www.darkpattern.games/game/20642/0/frontier-justice.html
FIFA Football,,https://www.darkpattern.games/game/439/0/fifa-football.html
Brown Dust,,https://www.darkpattern.games/game/3946/0/brown-dust.html
Bingo Frenzy2022,,https://www.darkpattern.games/game/35139/0/bingo-frenzy2022.html
Goddess of Genesis S,,https://www.darkpattern.games/game/26372/0/goddess-of-genesis-s.html
Puzzles & Conquest,,https://www.darkpattern.games/game/15924/0/puzzles-conquest.html
Evony: The King's Return,,https://www.darkpattern.games/game/3459/0/evony-the-king-s-return.html
Rise of Kingdoms: Lost Crusade,,https://www.darkpattern.games/game/3371/0/rise-of-kingdoms-lost-crusade.html
Cash Frenzy - Slots Casino,,https://www.darkpattern.games/game/513/0/cash-frenzy-slots-casino.html
Guardians of Cloudia,,https://www.darkpattern.games/game/30830/0/guardians-of-cloudia.html
Valor Legends: Idle RPG,,https://www.darkpattern.games/game/35354/0/valor-legends-idle-rpg.html
